Datetime,Symbol,Market,Time,Open,High,Low,Close,Volume,Value,Signal,Position,Capital,Shares_Held,Market_Return,Cumulative_Market_Returns,Strategy_Value,Cumulative_Strategy_Returns
2023-10-02,VCB,HOSE,,87100,87200,86500,86500,765700,66427720000.0004,,,98214000,20,-0.011428571428571455,0.9484649122807018,99944000,0.99944
2023-10-03,VCB,HOSE,,86500,86700,85800,86300,882600,76062089999.9999,,,98214000,20,-0.0023121387283236983,0.9462719298245615,99940000,0.9994
2023-10-04,VCB,HOSE,,86300,86300,85300,86300,923800,79225169999.9998,,,98214000,20,0.0,0.9462719298245615,99940000,0.9994
2023-10-05,VCB,HOSE,,86000,86000,84500,84500,890000,75829979999.9998,,,98214000,20,-0.02085747392815762,0.9265350877192984,99904000,0.99904
2023-10-06,VCB,HOSE,,84500,85400,83500,85400,800900,67391539999.9998,,,98214000,20,0.010650887573964596,0.93640350877193,99922000,0.99922
2023-10-09,VCB,HOSE,,85400,85400,84000,84600,1096100,92412720000.0002,,,98214000,20,-0.00936768149882905,0.9276315789473686,99906000,0.99906
2023-10-10,VCB,HOSE,,84600,86200,84600,86100,734100,63074319999.9996,,,98214000,20,0.01773049645390068,0.9440789473684212,99936000,0.99936
2023-10-11,VCB,HOSE,,86200,86500,85700,86500,719400,61906740000.0002,,,98214000,20,0.004645760743321681,0.948464912280702,99944000,0.99944
2023-10-12,VCB,HOSE,,86900,86900,85500,86000,714100,61445199999.9999,,,98214000,20,-0.005780346820809301,0.942982456140351,99934000,0.99934
2023-10-13,VCB,HOSE,,86000,86600,85500,86600,663100,57092199999.9998,,,98214000,20,0.006976744186046435,0.949561403508772,99946000,0.99946
2023-10-16,VCB,HOSE,,85600,86600,85600,86100,332300,28556290000.0001,,,98214000,20,-0.005773672055427226,0.9440789473684212,99936000,0.99936
2023-10-17,VCB,HOSE,,86100,86500,85500,85900,363400,31268360000.0001,,,98214000,20,-0.0023228803716608404,0.9418859649122809,99932000,0.99932
2023-10-18,VCB,HOSE,,85500,86000,85000,85900,1147400,98016150000,,,98214000,20,0.0,0.9418859649122809,99932000,0.99932
2023-10-19,VCB,HOSE,,85500,86000,84100,84500,1363600,115891770000,,,98214000,20,-0.016298020954598424,0.9265350877192984,99904000,0.99904
2023-10-20,VCB,HOSE,,83500,85300,82700,84800,938400,78534000000,,,98214000,20,0.0035502958579882726,0.929824561403509,99910000,0.9991
2023-10-23,VCB,HOSE,,84500,84500,82500,84500,966600,80363889999.9996,,,98214000,20,-0.003537735849056589,0.9265350877192985,99904000,0.99904
2023-10-24,VCB,HOSE,,84500,86500,83900,86000,994000,85042299999.9999,,,98214000,20,0.01775147928994092,0.9429824561403513,99934000,0.99934
2023-10-25,VCB,HOSE,,85100,85800,84600,85800,660100,56169440000,Buy,Buy,97356000,30,-0.0023255813953488857,0.9407894736842108,99930000,0.9993
2023-10-26,VCB,HOSE,,85000,86000,83500,84500,1420300,120662750000,,,97356000,30,-0.015151515151515138,0.9265350877192986,99891000,0.99891
2023-10-27,VCB,HOSE,,84600,85000,83800,85000,773400,65190270000,,,97356000,30,0.00591715976331364,0.9320175438596495,99906000,0.99906
2023-10-30,VCB,HOSE,,83500,86000,83500,85900,592900,50668329999.9998,,,97356000,30,0.010588235294117565,0.941885964912281,99933000,0.99933
2023-10-31,VCB,HOSE,,85900,86900,84900,86800,1345300,116141310000,,,97356000,30,0.010477299185098987,0.9517543859649127,99960000,0.9996
2023-11-01,VCB,HOSE,,86800,87800,86100,87800,1479100,128871800000,,,97356000,30,0.011520737327188835,0.9627192982456143,99990000,0.9999
2023-11-02,VCB,HOSE,,88000,89000,86600,89000,1057500,92581159999.9999,,,97356000,30,0.013667425968109326,0.9758771929824565,100026000,1.00026
2023-11-03,VCB,HOSE,,89000,89400,88100,88900,1086600,96662380000,,,97356000,30,-0.0011235955056180247,0.9747807017543862,100023000,1.00023
2023-11-06,VCB,HOSE,,88900,89800,88500,89500,774800,69184230000.0001,,,97356000,30,0.006749156355455588,0.9813596491228074,100041000,1.00041
2023-11-07,VCB,HOSE,,89000,89300,88300,88300,413900,36651660000,,,97356000,30,-0.013407821229050265,0.9682017543859652,100005000,1.00005
2023-11-08,VCB,HOSE,,88000,89700,87900,89500,1270300,113142150000,,,97356000,30,0.013590033975084959,0.9813596491228074,100041000,1.00041
2023-11-09,VCB,HOSE,,89500,89500,87900,87900,1166800,103253840000.0010,,,97356000,30,-0.01787709497206702,0.9638157894736846,99993000,0.99993
2023-11-10,VCB,HOSE,,87100,87500,86000,86000,1352000,116750559999.9990,,,97356000,30,-0.021615472127417545,0.9429824561403513,99936000,0.99936
2023-11-13,VCB,HOSE,,86000,86100,85400,85500,937700,80335239999.9998,,,97356000,30,-0.005813953488372103,0.9375000000000003,99921000,0.99921
2023-11-14,VCB,HOSE,,86000,86500,85400,86000,987500,84764000000,,,97356000,30,0.005847953216374213,0.9429824561403511,99936000,0.99936
2023-11-15,VCB,HOSE,,86500,87700,86500,87700,4067800,353911960000.0020,,,97356000,30,0.019767441860465196,0.9616228070175442,99987000,0.99987
2023-11-16,VCB,HOSE,,87000,88000,86700,88000,1284800,111934439999.9990,Buy,Buy,96476000,40,0.003420752565564511,0.9649122807017548,99996000,0.99996
2023-11-17,VCB,HOSE,,87800,87900,85500,85600,1588000,137424430000,,,96476000,40,-0.027272727272727226,0.9385964912280707,99900000,0.999
2023-11-20,VCB,HOSE,,85600,87000,85000,86100,1098400,94534079999.9997,,,96476000,40,0.005841121495327117,0.9440789473684216,99920000,0.9992
2023-11-21,VCB,HOSE,,86100,86700,85800,86600,1151400,99452789999.9997,,,96476000,40,0.005807200929152101,0.9495614035087724,99940000,0.9994
2023-11-22,VCB,HOSE,,86300,86700,85500,86700,1012700,87170850000,,,96476000,40,0.0011547344110853786,0.9506578947368425,99944000,0.99944
2023-11-23,VCB,HOSE,,86700,86800,85500,85500,647200,55796000000,,,96476000,40,-0.01384083044982698,0.9375000000000003,99896000,0.99896
2023-11-24,VCB,HOSE,,85500,86000,85000,86000,734500,62837220000,,,96476000,40,0.005847953216374213,0.9429824561403511,99916000,0.99916
2023-11-27,VCB,HOSE,,86000,86000,85100,85800,443000,37878240000.0001,,,96476000,40,-0.0023255813953488857,0.9407894736842107,99908000,0.99908
2023-11-28,VCB,HOSE,,85500,85900,84800,85800,779400,66396130000,,,96476000,40,0.0,0.9407894736842107,99908000,0.99908
2023-11-29,VCB,HOSE,,85400,85900,85100,85100,733100,62652029999.9998,,,96476000,40,-0.00815850815850816,0.9331140350877195,99880000,0.9988
